stop_id,stop_code,stop_name,stop_lat,stop_lon
CMR027,CMR027,CAVA MANARA SP193 Alessandria/Moro (Zona Ind.),45.14264438,9.09191283
CNA001,CNA001,CASTANA Casa Barbieri - SP45,45.01508347,9.27682529
CNA002,CNA002,CASTANA Casa Barbieri - SP45,45.01510876,9.27689478
CNA003,CNA003,CASTANA Casa Rovati - SP45,45.03772644,9.27008728
CNA004,CNA004,CASTANA Casa Rovati - SP45,45.0379768,9.27030851
CNA005,CNA005,CASTANA Cassinassa - SP45,45.02195195,9.27908035
CNA006,CNA006,CASTANA Cassinassa - SP45,45.02196851,9.27910738
CNA007,CNA007,CASTANA Roma (Posta),45.02602715,9.27453203
CNA008,CNA008,CASTANA Palazzina - Calvi,45.0311354,9.2688472
CNA009,CNA009,CASTANA Palazzina - Calvi,45.03114063,9.2689137
CNA010,CNA010,MONTESCANO Villafiorita (Centro Medico),45.03257677,9.28459954
CNA012,CNA012,CASTANA Roma (Posta),45.02623066,9.27308183
CNE001,CNE001,CORNALE Bastida Dossi - Torremenapace/Angeleri,45.04076727,8.92079258
CNE002,CNE002,CORNALE Bastida Dossi - Torremenapace/Angeleri,45.04089423,8.92088718
CNE005,CNE005,CORNALE Torremenapace/Libertà,45.04296323,8.91546573
CNE006,CNE006,CORNALE Torremenapace/Libertà,45.04290456,8.91523752
CNE007,CNE007,CORNALE Cornale - Garibaldi/5 Martiri,45.04200426,8.90959901
CNE008,CNE008,CORNALE Cornale - Garibaldi/5 Martiri,45.04211589,8.90958898
CNE009,CNE009,CORNALE Meardi/Garibaldi,45.0408968,8.90769668
CNE010,CNE010,CORNALE Meardi/Garibaldi,45.04073756,8.90754995
CNV001,CNV001,CANEVINO Caseo - SP201,44.94356606,9.27454187
CNV002,CNV002,CANEVINO Caseo - SP201,44.9435756,9.27463669
COA001,COA001,CORANA Vittorio Emanuele (Municipio),45.06148241,8.96919352
COA002,COA002,CORANA Vittorio Emanuele (Municipio),45.06145054,8.96909143
COA003,COA003,CORANA Ghiaie - Vittorio Emanuele/Cavour,45.06545276,8.95330213
COA004,COA004,CORANA Ghiaie - Vittorio Emanuele/Cavour,45.06553325,8.95344148
COA005,COA005,CORANA Ghiaie - Vittorio Emanuele,45.06789039,8.95031819
COA006,COA006,CORANA Ghiaie - Vittorio Emanuele,45.06785897,8.95026406
COA007,COA007,CORANA Tripoli/Barchi,45.06369878,8.96821201
COA008,COA008,CORANA Tripoli/Barchi,45.06372324,8.96833999
CPA001,CPA001,CERTOSA DI PAVIA Torriano - Principale,45.2619913,9.1238279
CPA002,CPA002,CERTOSA DI PAVIA SP35 Dei Giovi/Certosa,45.25234767,9.13052008
CPA003,CPA003,CERTOSA DI PAVIA SP35 Dei Giovi/Certosa,45.25232498,9.1304529
CPA004,CPA004,CERTOSA DI PAVIA Certosa (Monumento),45.25542978,9.14094917
CPA005,CPA005,CERTOSA DI PAVIA Certosa (Monumento),45.25549681,9.14147501
CPA006,CPA006,CERTOSA DI PAVIA Cascine Calderari,45.23387663,9.1248392
CPE001,CPE001,CANNETO PAVESE IV Novembre/Croce,45.05140624,9.27951427
CPE002,CPE002,CANNETO PAVESE IV Novembre/Croce,45.05146421,9.27952501
CPE003,CPE003,CANNETO PAVESE Colombarone - SP45,45.04760642,9.27058787
CPE004,CPE004,CANNETO PAVESE Colombarone - SP45,45.04771859,9.27061727
CPE005,CPE005,CANNETO PAVESE Casa Bazzini - SP45,45.04373886,9.26995148
CPE006,CPE006,CANNETO PAVESE Casa Bazzini - SP45,45.04373878,9.26998425
CPE007,CPE007,CANNETO PAVESE Vigalone - SP201,45.04608351,9.2983602
CPE008,CPE008,CANNETO PAVESE Vigalone - SP201,45.04621959,9.29840303
CPE015,CPE015,CANNETO PAVESE Roncole - SP201,45.03672905,9.29954366
CPN003,CPN003,"COPIANO Dante, 5",45.19900621,9.32080246
CPN004,CPN004,COPIANO Ponti/Giovanni XXIII/Roma,45.19672597,9.32191589
CPN005,CPN005,COPIANO Ponti/Giovanni XXIII/Roma,45.19683092,9.32189363
CPN006,CPN006,COPIANO Vistarino/Case Popolari,45.19921369,9.31969694
CPN007,CPN007,COPIANO Ponti (Cimitero),45.19619438,9.32623406
CPN008,CPN008,COPIANO Ponti (Cimitero),45.19627277,9.32540617
CPN010,CPN010,COPIANO Case Nuove (Cimitero),45.19605656,9.32564209
CPR002,CPR002,CASORATE PRIMO Tosi/Avis (Ospedale),45.30893578,9.01459948
CPR003,CPR003,CASORATE PRIMO Contardi/Santagostino,45.31140626,9.0197921
CPR004,CPR004,CASORATE PRIMO Santagostino/Fermi,45.30842054,9.02265983
CPR005,CPR005,CASORATE PRIMO Vittorio Emanuele/Di Vittorio,45.31455167,9.0250302
CPR008,CPR008,CASORATE PRIMO Capo di Vico/Garibaldi,45.31389918,9.01652803
