fermata;lat;lon
SRG017;45,4228517;9,702702956
SRG016;45,42271212;9,702859711
SRG004;45,4380826;9,696908571
SRG003;45,43801352;9,69672362
VRB709;45,69374885;9,225285631
GSN734;45,69498145;9,205142738
GSN735;45,6957301;9,199252954
GSN736;45,67486314;9,205300213
GSN737;45,66847112;9,210718162
LSS020;45,61238515;9,237323052
LSS024;45,60619416;9,251004215
LSS025;45,60330166;9,252302332
LSS027;45,61181844;9,24551472
LSS028;45,6273364;9,244883973
CRB014;45,68618048;9,246403979
CRB016;45,67669763;9,234857932
CRB017;45,67852068;9,233895419
CRB018;45,676832;9,229899007
CRB019;45,67522388;9,226282815
CRB020;45,67060029;9,243991056
CRB021;45,68032301;9,236361883
CRB022;45,68002472;9,236181692
CRB026;45,67801956;9,236109376
CRB027;45,66894147;9,223633315
CRB028;45,67833678;9,239864381
CRB030;45,67784758;9,240154944
CRB032;45,67145822;9,228057718
CRB033;45,67342995;9,230814082
CRB034;45,66946429;9,225816762
CRB035;45,66974614;9,244788714
CRB701;45,68817575;9,242136785
CRB702;45,68597369;9,23738542
CRB703;45,6809215;9,241460814
CRB704;45,6675095;9,241985286
CRB705;45,6636211;9,24024303
CRB706;45,65961056;9,24111974
CRB707;45,66003375;9,233887337
CRB708;45,6645;9,231099324
CRB709;45,66523205;9,229522295
CRB710;45,6696329;9,2302264
CRB711;45,6776446;9,225767628
MGO006;45,23653415;9,085408153
CNU001;44,98184011;8,876002124
CRB712;45,67876661;9,233237538
CRB713;45,67974958;9,230122325
CRB714;45,67934439;9,228644208
MGG031;45,5911918;9,214106846
MGG032;45,59254581;9,223460958
VRD014;45,60034062;9,172978537
RVD008;45,4659084;9,517353066
TRC015;45,48015809;9,478905879
TRC016;45,48034244;9,479140276
TRC019;45,46733333;9,475224282
TRC020;45,4673579;9,475727073
TRC024;45,478233;9,487718789
MNZ033;45,55779522;9,253403863
MNZ034;45,5577061;9,253543904
MNZ035;45,57317327;9,26816841
MNZ036;45,56554289;9,260837105
MNZ042;45,59659535;9,256870261
MNZ043;45,5975788;9,256716949
MNZ047;45,57324485;9,267993731
MNZ049;45,57157944;9,266364528
MNZ050;45,56952647;9,264784734
MNZ051;45,56961654;9,264608444
MNZ057;45,56157259;9,257014915
MNZ059;45,57155283;9,266677598
MNZ060;45,57809614;9,270763521
MNZ061;45,56773087;9,263150038
MNZ062;45,56554235;9,261076582
MNZ063;45,56724737;9,262392466
MNZ066;45,59740535;9,270342743
MNZ067;45,59768454;9,270547259
MLN150;45,46128674;9,214579883
MNZ071;45,56848041;9,284505723
MNZ072;45,56868775;9,284668457
MNZ073;45,56386658;9,28853131
MNZ074;45,56400032;9,288683305
MNZ075;45,57662624;9,282851305
MNZ076;45,57375389;9,283460803
MNZ077;45,57120029;9,283930777
MNZ080;45,57323789;9,283152973
MNZ081;45,57721498;9,283069411
MNZ082;45,57975407;9,260913128
MNZ085;45,57689207;9,25098063
MNZ086;45,57684366;9,249568618
MNZ087;45,5785231;9,271061056
MNZ105;45,57842662;9,255754685
MNZ106;45,58073676;9,264731623
MNZ111;45,5794838;9,260856862
MNZ113;45,58160204;9,269136459
MNZ114;45,57815635;9,255698458
MNZ115;45,59169657;9,242215401
MNZ116;45,5919327;9,241810658
MNZ122;45,58185977;9,269046002
MNZ133;45,5806136;9,26525616
MNZ148;45,57815373;9,274103385
MNZ149;45,57816704;9,27398817
MNZ152;45,59084808;9,250713279
MLZ099;45,48454661;9,423469081
CLV002;45,49659492;9,597956415
CLV001;45,496972;9,598139579
CMS001;45,44352125;9,743926215
CRG006;45,49926016;9,639523195
CRG007;45,49798169;9,637124937
CRG002;45,48255577;9,632311339
CRG001;45,48308281;9,631083763
